"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1861418394362487307","Tue Nov 26 23:33:40 +0000 2024","0","@BangEdiii @Reiza_Patters Yg pasti @ridwankamil gak bakal milih RIDO","1861553943937196382","","BangEdiii","in","","0","0","0","https://x.com/2024_anies62406/status/1861553943937196382","1695738370339868672","2024_anies62406"
"1860942154086191530","Tue Nov 26 23:32:47 +0000 2024","0","@jansen_jsp @ridwankamil Males pilih paslon yg didukung jkw!","1861553721714561074","","jansen_jsp","in","Central Java, Indonesia","0","0","0","https://x.com/Arya28849952/status/1861553721714561074","1644828743989592064","Arya28849952"
"1861266131153232384","Tue Nov 26 23:31:57 +0000 2024","0","@TeddGus @KojekRapBetawi @prabowo @ridwankamil Apasih gajelas banget ","1861553509096923372","","TeddGus","in","","0","0","0","https://x.com/HrrGheist/status/1861553509096923372","1410925618825334792","HrrGheist"
"1861346187913371654","Tue Nov 26 23:31:43 +0000 2024","0","@MurtadhaOne1 @ridwankamil mah rela ngapain aja Joged joged sambil nungging pun dia bersedia Krna jiwany memang jiwa pelacur","1861553453467869593","","MurtadhaOne1","in","","0","0","0","https://x.com/DellaPerdana2/status/1861553453467869593","1331552412813824001","DellaPerdana2"
"1861011951331274765","Tue Nov 26 23:31:08 +0000 2024","0","@xquitavee @ridwankamil Sekarang masanya memilih ngga usah lihat partai lagi. Masyarakat yang cerdas. Negara ini milik rakyat. Pilih yang terbaik dari yang baik berakhlak baik berkompeten dan berintegitas membela kepentingan rakyat. Itu aja sih.","1861553303492141446","","xquitavee","in","","0","0","0","https://x.com/LukPrabowo/status/1861553303492141446","4738020572","LukPrabowo"
"1861011951331274765","Tue Nov 26 22:44:07 +0000 2024","0","@xquitavee @ridwankamil Awowkwokwowiwkwowiwwi https://t.co/pSYfjumt4J","1861541470777548973","https://pbs.twimg.com/media/GdWGGbLbYAAZBPs.jpg","xquitavee","in","England, United Kingdom","0","0","0","https://x.com/allkacruuut/status/1861541470777548973","1524615212875546625","allkacruuut"
"1861266131153232384","Tue Nov 26 22:41:50 +0000 2024","2","@TeddGus @prabowo @ridwankamil Bagi kamu gak ada salahnya. Bagi masyarakat yang tau aturan dan punya etika pasti itu salah. Bagi kamu etika hanya NDASMU. Paham!","1861540898129224115","","TeddGus","in","","0","1","0","https://x.com/melan63391171/status/1861540898129224115","1567320934322929664","melan63391171"
"1860942154086191530","Tue Nov 26 22:40:48 +0000 2024","0","@jansen_jsp @ridwankamil Lagi menghibur diri ini orang kaya nya padahal galau perasaan nya","1861540636622758397","","jansen_jsp","in","","0","0","0","https://x.com/faisal0100978/status/1861540636622758397","1626272665605640192","faisal0100978"
"1861266131153232384","Tue Nov 26 22:39:58 +0000 2024","0","@TeddGus @prabowo @ridwankamil Dari dulu yg namanya Teddy kok banyak yg dongok yah bener nggak @vino_vanBuuren","1861540427196965084","","TeddGus","in","Heaven on Earth","0","1","0","https://x.com/arief_aryu/status/1861540427196965084","302050999","arief_aryu"
"1860942154086191530","Tue Nov 26 22:38:51 +0000 2024","0","@jansen_jsp @ridwankamil Berbusa2 promosiin pasangan yg becandanya soal janda ya bang...ah gak masuk ke kita bang...itu pasangan dibuat cuma buat ngamanin proyek giant sea wall aja kayaknya..yuk ah jujur","1861540146400919563","","jansen_jsp","in","","0","0","0","https://x.com/Ramadian40/status/1861540146400919563","348792302","Ramadian40"
"1861540129262969263","Tue Nov 26 22:38:47 +0000 2024","0","Iya sih.tapi banci kaleng @ridwankamil","1861540129262969263","","","in","Kebumen, Indonesia","0","0","0","https://x.com/Dunianyasantai/status/1861540129262969263","1619950656714051585","Dunianyasantai"
"1860942154086191530","Tue Nov 26 22:35:40 +0000 2024","0","@Top8rendusara @panca66 @jansen_jsp @ridwankamil Taek","1861539347516006614","","Top8rendusara","in","","0","0","0","https://x.com/JNdlesep11859/status/1861539347516006614","1780148473209479168","JNdlesep11859"
"1861266131153232384","Tue Nov 26 22:35:33 +0000 2024","0","@TeddGus @prabowo @ridwankamil yng sala itu anda bro pak prabowo itu bukan cuma Presiden partai gerindra jang kau buat martabatnya rendah di medsos hargai beliauw sebagai Presidan. harusnya anda bisa bedakan. mana surat untuk internal mana surat untuk di sebar ke publik . oke orang pintar","1861539317723861080","","TeddGus","in","","0","0","0","https://x.com/TaweraStenly/status/1861539317723861080","1609938147839979520","TaweraStenly"
"1860942154086191530","Tue Nov 26 22:35:13 +0000 2024","0","@Top8rendusara @jansen_jsp @ridwankamil Mau mainin sara ...","1861539233158307928","","Top8rendusara","in","","0","0","0","https://x.com/juhaiman15/status/1861539233158307928","1381426573279031296","juhaiman15"
"1860942154086191530","Tue Nov 26 22:34:42 +0000 2024","0","@jansen_jsp @ridwankamil Rakyat Jakarta Jangan pilih calon yang berafiliasi ke Mulyono","1861539103164244214","","jansen_jsp","in","","0","0","0","https://x.com/izzati_rai40989/status/1861539103164244214","1740684693660717057","izzati_rai40989"
"1861538567580983482","Tue Nov 26 22:32:34 +0000 2024","0","Do'a dan Dukungan untuk Ridwan Kamil - Suswono untuk DKI Jakarta! #kopirakyat @ridwankamil","1861538567580983482","","","in","Jakarta, Indonesia","0","0","0","https://x.com/ferryheilmann/status/1861538567580983482","148232890","ferryheilmann"
